"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",0,297.659283761831,550.615318183065,0.5,1,0.523621926840943,0.451907449935581,0.704606157067108,0.68849276374867
"CADPH-FluCAT_Ensemble",1,346.088434166307,440.06539476952,1,1,0.63543441327312,0.505536853982656,0.614142456517458,0.535953599835488
"CEPH-Rtrend_fluH",0,176.640175585284,209.403846153846,0.0865384615384615,0.259615384615385,0.951017487612997,0.82076755315459,0.86792976354739,0.848081379435858
"CEPH-Rtrend_fluH",1,315.772073578595,381.846153846154,0.0384615384615385,0.192307692307692,0.973803288429624,0.774735268577721,0.954469998611071,0.832952723365471
"CMU-TimeSeries",0,168.80359196315,243.3857339442,0.125,0.807692307692308,0.929682365251164,0.802354457280688,1.01964217951179,0.996324336887574
"CMU-TimeSeries",1,311.876820492908,430.738630725969,0.0576923076923077,0.596153846153846,0.949863432539256,0.755689275507759,1.07178388387428,0.935330923163027
"CMU-climate_baseline",0,268.914051494364,403.360348418879,0.221153846153846,0.653846153846154,1.55838843587753,1.34495388364521,1.78005844698503,1.73935090902444
"CMU-climate_baseline",1,321.614551949601,482.728576951743,0.192307692307692,0.615384615384615,1.01614001161764,0.80841738179246,1.23790493721826,1.08030246128634
"CU-ensemble",0,182.142863712375,260.586538461538,0.0865384615384615,0.605769230769231,1.00983440436233,0.871528992847578,1.11026059045343,1.08487042688404
"CU-ensemble",1,336.307692307692,437.5,0.0576923076923077,0.307692307692308,1.03203565038442,0.821063582637655,1.09460959314207,0.955250602906779
"FluSight-baseline",0,212.623252508361,245.701923076923,0.0480769230769231,0.230769230769231,1.15869284057075,1,1.02340386735614,1
"FluSight-baseline",1,410.66233277592,461.615384615385,0.0384615384615385,0.0769230769230769,1.25694973228385,1,1.14588736171559,1
"FluSight-ensemble",0,172.626914715719,227.634615384615,0.0961538461538462,0.403846153846154,0.936897608160212,0.808581511299158,0.951076415070623,0.929326579083221
"FluSight-ensemble",1,335.8022909699,411.788461538462,0.0576923076923077,0.173076923076923,1.01510471298581,0.807593722257602,1.0204258546789,0.89051148373881
"FluSight-lop_norm",0,159.75266722408,237.432692307692,0.115384615384615,0.75,0.87508214402434,0.75523220079041,0.997993804534489,0.975171031073687
"FluSight-lop_norm",1,302.708712374582,416.230769230769,0.0576923076923077,0.384615384615385,0.921429740813579,0.733068091067859,1.03663086675359,0.904653372912305
"FluSight-trained_mean",0,124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.636934966693096,0.812501241647772,0.79392043313925
"FluSight-trained_med",0,146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.751943549904246,0.939804344688077,0.918312285760619
"Gatech-ensemble_point",0,160.3235409699,202.115384615385,0.0865384615384615,0.384615384615385,0.860696588898731,0.742816869805433,0.833464619057997,0.814404406357351
"Gatech-ensemble_point",1,381.156237458194,439.576923076923,0.0384615384615385,0.115384615384615,1.15595984576698,0.919654792930041,1.09046380677939,0.951632632675853
"Gatech-ensemble_prob",0,265.097253344482,298.240384615385,0.0769230769230769,0.173076923076923,1.45149644060118,1.25270165636494,1.2514360820874,1.2228174252657
"Gatech-ensemble_prob",1,596.895342809365,621.846153846154,0,0.0192307692307692,1.90366376822588,1.51451065968005,1.59722905054494,1.39387962893109
