"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",2024-11-30,53.350662160704,71.460860038003,1,1,0.513068361214417,0.473814613931761,0.447138546511799,0.403146792471682
"CADPH-FluCAT_Ensemble",2024-12-07,115.507720256594,209.211432518975,1,1,0.503771197699933,0.444220781172239,0.634739867255524,0.542828916194636
"CADPH-FluCAT_Ensemble",2024-12-14,158.621676099712,261.44657760363,1,1,0.557800050205229,0.466389004852522,0.629712997402707,0.501371365888779
"CADPH-FluCAT_Ensemble",2024-12-21,452.573387440341,881.894295782275,0,1,0.531185329899062,0.412087766147351,0.739255229785115,0.595764890099861
"CADPH-FluCAT_Ensemble",2024-12-28,731.372204271434,1409.99275653333,0,1,0.563793979601595,0.441697793454147,0.809863354320255,0.691186768259891
"CADPH-FluCAT_Ensemble",2025-01-04,415.36477485728,721.138404594423,1,1,0.499140160814597,0.407902025102416,0.629413522285365,0.565455669463289
"CEPH-Rtrend_fluH",2024-11-30,24.3419648829431,30.7692307692308,0.384615384615385,0.75,0.819024951274404,0.75636312901856,0.804428949687805,0.725285156844433
"CEPH-Rtrend_fluH",2024-12-07,28.7144648829431,38.2596153846154,0.384615384615385,0.788461538461538,0.787009332710475,0.693977548066829,0.749083041096319,0.640615087084808
"CEPH-Rtrend_fluH",2024-12-14,37.2810340022297,55.5448717948718,0.25,0.67948717948718,0.703070266589907,0.587852657696284,0.732368682483399,0.583104824237965
"CEPH-Rtrend_fluH",2024-12-21,84.5407148829431,121.350961538462,0.221153846153846,0.668269230769231,0.764191447614073,0.592851362472746,0.789914279504993,0.636590956623191
"CEPH-Rtrend_fluH",2024-12-28,217.918168896321,274.4375,0.0769230769230769,0.350961538461538,0.859422381898741,0.67330440455932,0.85005243373753,0.725486579176858
"CEPH-Rtrend_fluH",2025-01-04,262.323676839465,328.384615384615,0.0913461538461538,0.379807692307692,0.807177630436,0.659633136982763,0.809286533272099,0.727050885080166
"CMU-TimeSeries",2024-11-30,30.0601117357273,33.5679812532322,0.807692307692308,0.961538461538462,1.03501942588856,0.955832334951395,0.877611672807104,0.79126779314374
"CMU-TimeSeries",2024-12-07,36.3344176840647,40.6700807458554,0.826923076923077,0.951923076923077,0.968258286678552,0.853801198735932,0.775811669986104,0.663473384475745
"CMU-TimeSeries",2024-12-14,42.6638883942075,63.4876636033308,0.788461538461538,0.967948717948718,0.776424835617178,0.649186041293914,0.835187111227831,0.664967857509878
"CMU-TimeSeries",2024-12-21,83.0311039255304,141.469365413365,0.605769230769231,0.966346153846154,0.742928000929005,0.576355413221459,0.940941316704782,0.758303462120912
"CMU-TimeSeries",2024-12-28,204.923852866066,327.230311703936,0.206730769230769,0.788461538461538,0.813052864000012,0.636976748570737,1.02007515390997,0.870594335763002
"CMU-TimeSeries",2025-01-04,291.505211753825,415.992129227471,0.0913461538461538,0.615384615384615,0.911899467411653,0.745212805236868,1.03800210758831,0.932525527128001
"CMU-climate_baseline",2024-11-30,55.8359458157034,73.7191010108118,0.653846153846154,1,2.00434106960997,1.85099328252661,1.92482528900675,1.73545123180511
"CMU-climate_baseline",2024-12-07,69.0094018688761,89.2892308129543,0.653846153846154,0.980769230769231,1.9592759673666,1.72767142053643,1.65899111185242,1.41876758287951
"CMU-climate_baseline",2024-12-14,66.7391285260025,79.9387842937369,0.865384615384615,0.987179487179487,1.26860528188204,1.06070903857023,1.06272957852323,0.846134957595379
"CMU-climate_baseline",2024-12-21,91.3082817366678,124.205772057837,0.831730769230769,0.975961538461538,0.823577838056869,0.638922674309946,0.829721313670495,0.668671397016835
"CMU-climate_baseline",2024-12-28,192.320462154932,316.919446761086,0.403846153846154,0.841346153846154,0.763344046698237,0.598032957555223,0.991585008818199,0.846279108745771
"CMU-climate_baseline",2025-01-04,337.919103707483,499.559810303096,0.149038461538462,0.572115384615385,1.11338329076762,0.909867277115363,1.3137921536832,1.18029116867263
"CU-ensemble",2024-11-30,26.4419147157191,34.0961538461538,0.711538461538462,0.961538461538462,0.890002174482207,0.82191003885442,0.897347397540237,0.809061817356896
"CU-ensemble",2024-12-07,31.1889423076923,44,0.567307692307692,0.923076923076923,0.835657537684299,0.736875085112945,0.855308566522129,0.731459052957657
"CU-ensemble",2024-12-14,39.0094147157191,61.9038461538462,0.371794871794872,0.884615384615385,0.723682138787483,0.605086701613701,0.821046171314817,0.653708978642233
"CU-ensemble",2024-12-21,100.267366220736,141.173076923077,0.288461538461538,0.725961538461538,0.911522046244938,0.707148828644264,0.941824401923272,0.759015139423885
"CU-ensemble",2024-12-28,260.934636287625,332.375,0.0192307692307692,0.379807692307692,1.03793769289993,0.813160135233714,1.03718383436021,0.885195926866632
"CU-ensemble",2025-01-04,343.36391722408,432.495192307692,0.0576923076923077,0.293269230769231,1.07634982728696,0.879603183106853,1.09288268796755,0.981829417527748
"FluSight-baseline",2024-11-30,31.3835869565217,41.5576923076923,0.288461538461538,0.942307692307692,1.08284621480314,1,1.10912093277589,1
"FluSight-baseline",2024-12-07,42.2982483277592,60.7884615384615,0.240384615384615,0.932692307692308,1.13405589979503,1,1.16931845065515,1
"FluSight-baseline",2024-12-14,64.6571293199554,96.4102564102564,0.128205128205128,0.852564102564103,1.19599742790165,1,1.25598117532384,1
"FluSight-baseline",2024-12-21,144.145441053512,190.072115384615,0.0432692307692308,0.581730769230769,1.28901019039018,1,1.24085061417634,1
