"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",2024-11-30,225.582259455394,411.602117217069,0.75,1,0.478052469753933,0.384546552855748,0.609045897983551,0.479689404732483
"CADPH-FluCAT_Ensemble",2024-12-07,389.653421284732,752.272197694842,0.5,1,0.507653469619876,0.410887714771348,0.717112413520573,0.595411589731131
"CADPH-FluCAT_Ensemble",2024-12-14,528.145528373982,1004.52323008287,0.5,1,0.539719856082986,0.434668830454292,0.753551576097025,0.645542951480712
"CADPH-FluCAT_Ensemble",2024-12-21,547.513586367615,1037.1463581374,0.333333333333333,1,0.590977351994535,0.448912557427417,0.806861886195818,0.679940136278211
"CADPH-FluCAT_Ensemble",2024-12-28,417.809642951443,690.64722134475,0.5,1,0.622436886253674,0.494815687837295,0.725445043942997,0.644347592834684
"CADPH-FluCAT_Ensemble",2025-01-04,105.787715787084,160.00158844615,1,1,0.388209389663559,0.358241060799217,0.526322850845644,0.548986917201626
"CEPH-Rtrend_fluH",2024-11-30,47.0552090301003,72.1442307692308,0.413461538461538,0.860576923076923,0.667546673036252,0.536976144310155,0.749735715306891,0.590497826474086
"CEPH-Rtrend_fluH",2024-12-07,103.484669732441,146.341346153846,0.221153846153846,0.701923076923077,0.806389566365247,0.652680590142277,0.873839574649582,0.72554065513629
"CEPH-Rtrend_fluH",2024-12-14,171.021183110368,219.125,0.0721153846153846,0.432692307692308,0.80180701444933,0.645743367216696,0.813259487497708,0.696692763351563
"CEPH-Rtrend_fluH",2024-12-21,165.815855629877,206.50641025641,0.141025641025641,0.423076923076923,0.738633215891405,0.561073490934242,0.71727719177403,0.604447378006061
"CEPH-Rtrend_fluH",2024-12-28,266.326329431438,313.105769230769,0.0288461538461538,0.115384615384615,1.03704939832854,0.824418222454211,0.96280637126763,0.855174313853251
"CEPH-Rtrend_fluH",2025-01-04,136.399765886288,174.442307692308,0.153846153846154,0.480769230769231,0.809474418046574,0.746985987284209,0.783116316007017,0.816838203859535
"CMU-TimeSeries",2024-11-30,57.7878647055211,79.2245548946105,0.798076923076923,0.947115384615385,0.818985568269154,0.65879395472764,0.825299846231485,0.650012738408235
"CMU-TimeSeries",2024-12-07,94.0329772876755,153.029136819314,0.668269230769231,0.908653846153846,0.731720498860021,0.592244477030899,0.917233680444638,0.761570366837346
"CMU-TimeSeries",2024-12-14,166.398782358915,263.019251027166,0.418269230769231,0.826923076923077,0.781915950118589,0.629723897909262,0.980475869517103,0.839941560393198
"CMU-TimeSeries",2024-12-21,208.732928213504,315.178829785098,0.198717948717949,0.769230769230769,0.934679662176146,0.70999241528763,1.10006501163846,0.927021546965005
"CMU-TimeSeries",2024-12-28,243.711581861856,346.734635288619,0.0673076923076923,0.721153846153846,0.936939561973509,0.744834382503081,1.06109235320558,0.942472912692515
"CMU-TimeSeries",2025-01-04,162.060840695496,224.040828037131,0.173076923076923,0.769230769230769,0.963254623326529,0.888894929561871,1.00031520411853,1.0433899255117
"CMU-climate_baseline",2024-11-30,72.0979677635531,93.5236295245005,0.754807692307692,0.980769230769231,1.04147470947298,0.837764753355263,0.98175815230937,0.773240547603628
"CMU-climate_baseline",2024-12-07,106.735513792326,155.694642348069,0.6875,0.951923076923077,0.824675493542897,0.667480967328954,0.926149170042857,0.768972812722847
"CMU-climate_baseline",2024-12-14,173.504073036367,259.725814909014,0.567307692307692,0.850961538461538,0.811719087149553,0.653726154952638,0.967798877598887,0.829081596671579
"CMU-climate_baseline",2024-12-21,203.823550740161,309.876137030056,0.474358974358974,0.807692307692308,0.911842461787559,0.692645039797989,1.08481597046769,0.914171224860123
"CMU-climate_baseline",2024-12-28,251.84246684031,391.497456138963,0.298076923076923,0.740384615384615,1.00068704378059,0.795511414592425,1.23342676990852,1.09554207691418
"CMU-climate_baseline",2025-01-04,355.757721257711,506.454361511573,0.0384615384615385,0.442307692307692,2.18217260566468,2.01371695253895,2.33938231159957,2.44011880034771
"CU-ensemble",2024-11-30,55.5051734949833,77.6875,0.528846153846154,0.870192307692308,0.792393631489756,0.637403337025071,0.812299409606338,0.63977349087923
"CU-ensemble",2024-12-07,122.603432274247,160.197115384615,0.298076923076923,0.697115384615385,0.961538661419528,0.778256127257054,0.963076812098803,0.799633481325152
"CU-ensemble",2024-12-14,218.151893812709,273.504807692308,0.129807692307692,0.485576923076923,1.02553496297035,0.825924927386344,1.01928067997046,0.873184370396268
"CU-ensemble",2024-12-21,246.158768115942,309.25,0.121794871794872,0.442307692307692,1.10658870807405,0.840576318678313,1.08350870856562,0.913069599103533
"CU-ensemble",2024-12-28,262.342901337793,349.394230769231,0.0384615384615385,0.432692307692308,1.01111711489319,0.803802958563786,1.072735271909,0.95281427032223
"CU-ensemble",2025-01-04,175.907617056856,259.884615384615,0.153846153846154,0.653846153846154,1.05960526198799,0.977807655327413,1.18356553669598,1.23453122784397
"FluSight-baseline",2024-11-30,87.1973515886288,121.879807692308,0.201923076923077,0.822115384615385,1.24315890027822,1,1.26966718875771,1
"FluSight-baseline",2024-12-07,157.924734531773,200.629807692308,0.100961538461538,0.663461538461538,1.23550413256424,1,1.20439780798422,1
"FluSight-baseline",2024-12-14,263.897510451505,312.995192307692,0.0288461538461538,0.413461538461538,1.2416806043325,1,1.16731438917979,1
"FluSight-baseline",2024-12-21,293.722547380156,339.75,0.0128205128205128,0.288461538461538,1.31646429180161,1,1.18666606535737,1
