"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",313.802333896657,513.765343711883,0.666666666666667,1,0.537773052246141,0.451792025261656,0.649940325367953,0.610023306853722
"CEPH-Rtrend_fluH",223.017474916388,266.884615384615,0.0705128205128205,0.237179487179487,0.943482601876239,0.792635320272059,0.890631132739522,0.835931742615071
"CMU-TimeSeries",216.494668139736,305.836699538123,0.102564102564103,0.737179487179487,0.938129276633201,0.788137903297863,1.03691007395436,0.973226752572202
"CMU-climate_baseline",286.480884979443,429.8164245965,0.211538461538462,0.641025641025641,1.34817595587733,1.13262489254687,1.57664491681372,1.47981300490059
"CU-ensemble",233.531139910814,319.557692307692,0.0769230769230769,0.506410256410256,1.02090460180703,0.857678821433827,1.10636827028923,1.03841907402465
"FluSight-baseline",278.636279264214,317.673076923077,0.0448717948717949,0.179487179487179,1.19031107717027,1,1.06543523512259,1
"FluSight-ensemble",227.018706800446,289.019230769231,0.0833333333333333,0.326923076923077,0.96372877015327,0.809644460710508,0.975533118750003,0.915619351220125
"FluSight-lop_norm",207.404682274248,297.032051282051,0.0961538461538462,0.628205128205128,0.89112951954697,0.748652630928591,1.01136558046162,0.949251110833836
"FluSight-trained_mean",124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.620016061323176,0.812501241647772,0.762600310993364
"FluSight-trained_med",146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.731969671204504,0.939804344688077,0.882084911130188
"Gatech-ensemble_point",233.934439799331,281.269230769231,0.0705128205128205,0.294871794871795,0.970920290186324,0.815686175494975,0.927321292518973,0.870368523537967
"Gatech-ensemble_prob",375.696616499443,406.108974358974,0.0512820512820513,0.121794871794872,1.61152138990444,1.35386574216843,1.37383770334595,1.28946148771575
"ISU_NiemiLab-GPE",219.577641089459,265.529960897348,0.128205128205128,0.326923076923077,0.920739066853561,0.77352810077382,0.886092668804142,0.831672014960337
"JHUAPL-DMD",163.288583993505,240.334807551776,0.243589743589744,0.717948717948718,0.722821485157914,0.607254270771198,0.829701729242308,0.778744405939273
"JHU_CSSE-CSSE_Ensemble",108.288881500426,150.359477124183,0.568627450980392,0.882352941176471,0.722191824878164,0.606725282768124,0.719046049896802,0.674884804062323
"LUcompUncertLab-chimera",308.393801560758,384.782051282051,0.0512820512820513,0.314102564102564,1.40257400071075,1.17832558867308,1.37303455783699,1.28870766854169
"LosAlamos_NAU-CModel_Flu",202.69262559922,314.044871794872,0.121794871794872,0.666666666666667,0.928507054695776,0.780054115688074,1.1252755375487,1.05616512431112
"MIGHTE-Joint",243.944450947603,289.641025641026,0.0641025641025641,0.282051282051282,1.03607888643474,0.87042698863041,0.987113486715008,0.926488494255058
"MIGHTE-Nsemble",250.602104236343,299.435897435897,0.0833333333333333,0.301282051282051,1.08828939913827,0.914289902876031,1.03725631485761,0.973551728593121
"MOBS-GLEAM_FLUH",169.638400113669,217.261437908497,0.202614379084967,0.496732026143791,0.719139141728229,0.604160673223203,0.724996956245534,0.680470226951071
"NEU_ISI-AdaptiveEnsemble",220.924281600921,292.986754966887,0.0794701986754967,0.350993377483444,1.10707518022566,0.930072147910706,1.13017953593126,1.06076793658999
"NEU_ISI-FluBcast",207.662985118179,237.308724832215,0.0536912751677852,0.161073825503356,0.969189279779794,0.814231925055967,0.856956968980352,0.804325725985355
"NIH-Flu_ARIMA",200.078007956806,246.078431372549,0.065359477124183,0.300653594771242,0.91633053207802,0.76982441787941,0.881639074499489,0.82749194454607
"OHT_JHU-nbxd",264.78106474359,355.858525641026,0.0705128205128205,0.378205128205128,1.20888243231097,1.01560210225451,1.2768599593924,1.19843977118467
"PSI-PROF",170.473046042363,239.898141025641,0.288461538461538,0.788461538461538,0.710940257079771,0.597272654783563,0.780457618423853,0.732524692910175
"PSI-PROF_beta",171.310879598662,247.903717948718,0.269230769230769,0.82051282051282,0.716143207490581,0.601643739376994,0.811431263585044,0.76159604717004
"SigSci-TSENS",230.333868935098,266.789855072464,0.0652173913043478,0.202898550724638,1.11475340985486,0.936522755467386,1.00230623266577,0.940748155893727
"Stevens-ILIForecast",419.594456521739,495.782051282051,0.134615384615385,0.25,1.99141282711116,1.67301881441391,1.8217097665924,1.7098268449727
"UGA_CEID-Walk",399.546540813824,441.793820512821,0.0256410256410256,0.0641025641025641,1.81239903388842,1.52262636940003,1.56820611781826,1.47189248686508
"UGA_flucast-Copycat",120.597165551839,166.961538461538,0.288461538461538,0.692307692307692,0.713401155748473,0.599340096409454,0.731738073204121,0.686797328530184
"UGA_flucast-INFLAenza",207.785674679487,292.644230769231,0.115384615384615,0.525641025641026,0.885648112704036,0.744047610486401,0.992115502833734,0.931183304370052
"UGA_flucast-Scenariocast",155.627441471572,220.346153846154,0.371794871794872,0.801282051282051,0.671673633660435,0.564284115760062,0.729651107819117,0.68483853712156
"UGuelph-CompositeCurve",260.453664596273,355.053571428571,0.196428571428571,0.25,1.62071808922034,1.3615920411942,1.68655670375411,1.58297440159285
"UI_CompEpi-EpiGen",390.136357302118,400.673076923077,0,0.0256410256410256,1.79322891639596,1.50652123700218,1.43434529818422,1.34625292171719
"UM-DeepOutbreak",254.930151736624,288.042280376854,0.0448717948717949,0.147435897435897,1.0780040033105,0.905648971925258,0.959662526206414,0.900723473910639
"UMass-AR2",225.177088410928,272.262783809516,0.115384615384615,0.320512820512821,0.897879633981465,0.754323513577639,0.862565289104132,0.809589603074172
"UMass-flusion",208.123934971543,266.501013676207,0.166666666666667,0.416666666666667,0.863011247974135,0.725030006463329,0.885602391054853,0.831211848323148
"UMass-trends_ensemble",233.679331103679,287.673076923077,0.108974358974359,0.262820512820513,0.956997170329099,0.803989132491456,0.950186928591871,0.891829833732264
"UNC_IDD-InfluPaint",198.804614094567,235.159631012871,0.0686274509803922,0.352941176470588,0.744090739361576,0.625122922598101,0.695168709668172,0.65247392497601
"UVAFluX-CESGCN",228.941337902268,259.867799502153,0.0769230769230769,0.211538461538462,1.36847187150465,1.14967582655613,1.1685920556643,1.09682129625631
