"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",2024-12-28,489.530851736578,941.22904791998,0,1,0.645142549820383,0.510175275017442,0.870451706557737,0.786436629363868
"CADPH-FluCAT_Ensemble",2025-01-04,225.938074976696,300.033491607835,1,1,0.513320387646276,0.437143037879945,0.554469702469593,0.522780803821652
"CEPH-Rtrend_fluH",2024-12-28,216.880585284281,244.365384615385,0.0192307692307692,0.0384615384615385,1.14419120819815,0.904820282707366,0.985972266951135,0.890807267566509
"CEPH-Rtrend_fluH",2025-01-04,226.085919732441,278.144230769231,0.0961538461538462,0.336538461538462,0.889051455701927,0.757115173155635,0.869634729479443,0.819933606621941
"CMU-TimeSeries",2024-12-28,175.546343230804,262.730639851269,0.0769230769230769,0.846153846153846,0.918321420271827,0.726203663472554,1.05595618409714,0.954036411119612
"CMU-TimeSeries",2025-01-04,236.968830594202,327.38972938155,0.115384615384615,0.682692307692308,0.947772411913198,0.807121870343549,1.03664379761763,0.977397818819492
"CMU-climate_baseline",2024-12-28,182.070381731018,300.266335326184,0.403846153846154,0.865384615384615,0.980577597947465,0.775435515527649,1.24063281836075,1.12088825215613
"CMU-climate_baseline",2025-01-04,338.686136603656,494.591469231658,0.115384615384615,0.528846153846154,1.46085749107232,1.24406451979282,1.68241150497423,1.58625878927525
"CU-ensemble",2024-12-28,188.378110367893,261.288461538462,0.0192307692307692,0.557692307692308,0.98281752198413,0.777206835465765,1.05159817730132,0.950099034526023
"CU-ensemble",2025-01-04,256.107654682274,348.692307692308,0.105769230769231,0.480769230769231,1.03657535664228,0.882746353543124,1.12806150760094,1.06359084919744
"FluSight-baseline",2024-12-28,241.566956521739,275.942307692308,0.0384615384615385,0.192307692307692,1.26455079540718,1,1.10683006622139,1
"FluSight-baseline",2025-01-04,297.170940635452,338.538461538462,0.0480769230769231,0.173076923076923,1.17426183918146,1,1.06061603336673,1
