"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",397.637366513847,740.351404751498,0.555555555555556,1,0.523435164488838,0.422441297799999,0.706897296984954,0.614603180503867
"CEPH-Rtrend_fluH",136.26356884058,176.145299145299,0.192307692307692,0.553418803418803,0.812547986270495,0.655771429074869,0.812207108746238,0.706163504079593
"CMU-TimeSeries",141.58673813712,213.563242163001,0.469017094017094,0.847222222222222,0.853460051958746,0.688789742129746,0.99832038739057,0.867977410394818
"CMU-climate_baseline",160.0146403071,236.380779555889,0.560897435897436,0.860042735042735,1.00865799561444,0.814043116724526,1.16017588625071,1.00870068774468
"CU-ensemble",168.006206800446,218.443376068376,0.245726495726496,0.614316239316239,1.01676937219926,0.820589448885423,1.03317233461631,0.898279008240857
"FluSight-baseline",208.50860367893,250.793803418803,0.0833333333333333,0.5,1.2390719544107,1,1.15016862816333,1
"FluSight-ensemble",170.79103771832,217.626068376068,0.158119658119658,0.482905982905983,1.01005866824268,0.815173537458573,1.00575981099237,0.874445525955996
"FluSight-lop_norm",149.060515143069,220.798076923077,0.208333333333333,0.795940170940171,0.886883024729586,0.715763940562585,1.02405547214329,0.890352464037005
"FluSight-trained_mean",124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.595616730077195,0.812501241647772,0.706419234321518
"FluSight-trained_med",146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.703164658586579,0.939804344688077,0.817101355119397
"Gatech-ensemble_point",206.232507896693,241.848290598291,0.120726495726496,0.342948717948718,1.19383524693315,0.963491460430106,1.09404889957962,0.951207390629903
"Gatech-ensemble_prob",268.489489966555,293.135683760684,0.0544871794871795,0.165598290598291,1.59057765623339,1.28368465654593,1.35285031967369,1.17621910957006
"ISU_NiemiLab-GPE",156.776074221086,203.154105302806,0.230769230769231,0.537179487179487,0.84540300156746,0.682287254229342,0.857723121927037,0.745736843211163
"JHUAPL-DMD",116.919470145249,183.75630067164,0.408119658119658,0.913461538461538,0.695127271361115,0.561006379723699,0.844404130164434,0.734156809260947
"JHU_CSSE-CSSE_Ensemble",176.114438058575,209.985906862745,0.224264705882353,0.466911764705882,1.11483717464283,0.899735621223906,1.03050297600388,0.895958167151071
"LUcompUncertLab-chimera",209.467952434039,248.064102564103,0.14957264957265,0.401709401709402,1.28236053113311,1.03493628967093,1.18459496988927,1.02993156036686
"LosAlamos_NAU-CModel_Flu",174.111159017559,259.185576923077,0.213461538461538,0.686538461538462,0.809251876131798,0.653111284821774,0.945694838097111,0.822222772331445
"MIGHTE-Joint",168.931081846897,202.782051282051,0.163461538461538,0.456196581196581,1.0019041917134,0.80859242124474,0.94402875358054,0.82077421559309
"MIGHTE-Nsemble",163.876170104051,198.720085470085,0.188034188034188,0.489316239316239,0.986318313389309,0.796013750354312,0.93505358521283,0.812970865590368
"MOBS-GLEAM_FLUH",158.495499780714,190.290118736383,0.140522875816993,0.406318082788671,0.916428442641162,0.739608736505551,0.860175219645644,0.747868789482835
"NEU_ISI-AdaptiveEnsemble",146.58480929736,196.646205357143,0.1640625,0.536830357142857,0.919689445144966,0.742240546944159,0.954822605788856,0.830158797943899
"NEU_ISI-FluBcast",168.837043732892,206.276720351391,0.117130307467057,0.342606149341142,0.893997889598669,0.721506032330344,0.847402839572746,0.736764000358744
"NIH-Flu_ARIMA",148.0577441508,187.540305010893,0.0827886710239651,0.383442265795207,0.921144290695902,0.7434146882406,0.906639550736912,0.78826663198482
"OHT_JHU-nbxd",150.907225306577,210.846485042735,0.266025641025641,0.65491452991453,0.93686792353575,0.756104534688885,1.01719408700019,0.884386916920622
"PSI-PROF",135.269531345225,199.70344017094,0.280982905982906,0.817307692307692,0.78506614455444,0.63359205392379,0.898485323197555,0.781177038911518
"PSI-PROF_beta",152.975391274486,210.499656593407,0.293956043956044,0.695054945054945,0.761289014549359,0.6144025872262,0.821950320228017,0.714634619743162
"SigSci-TSENS",185.801487866532,222.677906976744,0.246511627906977,0.47906976744186,1.12863306900573,0.910869675476192,1.04123803052663,0.905291628575676
"Stevens-ILIForecast",282.089547101449,319.496794871795,0.131410256410256,0.277777777777778,1.76702516403474,1.42608761157469,1.55007744056835,1.34769580965151
"UGA_CEID-Walk",310.114339067726,336.856625,0.0233516483516484,0.0714285714285714,1.63441759959768,1.31906592977081,1.38739248556961,1.20625137184022
"UGA_flucast-Copycat",176.456862458194,245.275641025641,0.118589743589744,0.488782051282051,0.93375082930941,0.753588866236182,1.01337895347918,0.881069895896406
"UGA_flucast-INFLAenza",151.216427942679,211.372329059829,0.209401709401709,0.634615384615385,0.89711929856406,0.724025183017501,0.98259792313681,0.854307706780256
"UGA_flucast-Scenariocast",129.578465121835,187.032967032967,0.303571428571429,0.701923076923077,0.654880465626172,0.528524968461281,0.730763618202172,0.635353460621774
"UGuelph-CompositeCurve",171.593396480331,250.342857142857,0.226190476190476,0.497619047619048,1.03761511932256,0.837413126516971,1.17182937860399,1.01883267367085
"UI_CompEpi-EpiGen",291.762941352126,304.409340659341,0.0247252747252747,0.164835164835165,1.54886412903087,1.25001951946165,1.25744787052702,1.09327262084604
"UM-DeepOutbreak",236.504893293037,261.308276701135,0.0352564102564103,0.183760683760684,1.37891179953314,1.11285853466754,1.18680040711324,1.03184905069824
"UMass-AR2",190.846196590388,235.564156501077,0.103632478632479,0.395299145299145,1.09585658945624,0.884417233039086,1.05474054392988,0.917031223164344
