"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"JHU_CSSE-CSSE_Ensemble",1,125.887503960642,158.689950980392,0.225490196078431,0.450980392156863,1.1473087350126,0.900126079583923,1.08115513854183,0.914077364869139
"JHU_CSSE-CSSE_Ensemble",2,249.508665210287,290.647467320261,0.132352941176471,0.333333333333333,1.20470053470956,0.937109503517258,1.09333271894939,0.908412242664489
"JHU_CSSE-CSSE_Ensemble",3,339.657510007578,382.185729847495,0.137254901960784,0.30718954248366,1.22815315007729,0.965227189487538,1.08983833198224,0.909643172297329
"LUcompUncertLab-chimera",0,118.321471571906,158.429487179487,0.21474358974359,0.57051282051282,1.34639855655076,1.15510094028237,1.34682431200272,1.27278071598402
"LUcompUncertLab-chimera",1,184.780302675585,223.619230769231,0.173076923076923,0.403846153846154,1.182183370334,0.927487127060324,1.10641755890532,0.935435822885831
"LUcompUncertLab-chimera",2,252.443168896321,292.495192307692,0.100961538461538,0.302884615384615,1.20459348910832,0.937026235146949,1.08996221286851,0.905611806040958
"LUcompUncertLab-chimera",3,375.606708472687,408.833333333333,0.0448717948717949,0.192307692307692,1.35011761866763,1.06108121325273,1.16296862758005,0.970682018267855
"LosAlamos_NAU-CModel_Flu",0,117.106068509615,183.15625,0.254807692307692,0.8125,0.997661308964048,0.855912619974848,1.16734837619985,1.10317172686992
"LosAlamos_NAU-CModel_Flu",1,174.061898871237,256.269230769231,0.205128205128205,0.666666666666667,0.782742551356683,0.614104087744497,0.895506924627925,0.757118549138069
"LosAlamos_NAU-CModel_Flu",2,236.435444021739,341.600961538462,0.182692307692308,0.538461538461538,0.732928114125811,0.57012832762448,0.842534604836841,0.700032786577295
"LosAlamos_NAU-CModel_Flu",3,277.630731479933,407.221153846154,0.134615384615385,0.538461538461538,0.679534127952802,0.534057838343266,0.809378675320002,0.675555047204833
"MIGHTE-Joint",0,88.1606911928651,110.685897435897,0.208333333333333,0.557692307692308,0.963308753809618,0.826440909264136,0.919058688356338,0.868532120316488
"MIGHTE-Joint",1,159.432780936455,188.45,0.169230769230769,0.457692307692308,1.03279928345718,0.810287189180326,0.940686622327204,0.795316341061104
"MIGHTE-Joint",2,210.203921404682,254.163461538462,0.139423076923077,0.413461538461538,1.00841936670435,0.784426788934169,0.949574717694521,0.788968704519586
"MIGHTE-Joint",3,291.271911928651,342.352564102564,0.0961538461538462,0.307692307692308,1.04193188765595,0.81887261983272,0.96896671940639,0.808756615202016
"MIGHTE-Nsemble",0,92.5942447045708,116.025641025641,0.237179487179487,0.548076923076923,1.02130406456307,0.876196189866111,0.970361883595558,0.917014848900251
"MIGHTE-Nsemble",1,152.050030100334,183.2,0.192307692307692,0.534615384615385,0.985204073151343,0.772946159035466,0.91478170697322,0.773414676887483
"MIGHTE-Nsemble",2,199.055850752508,242.451923076923,0.163461538461538,0.451923076923077,0.955877084521927,0.743555327063771,0.904966259783539,0.75190508372933
"MIGHTE-Nsemble",3,279.244013377926,331.666666666667,0.115384615384615,0.346153846153846,1.00188646009542,0.787400213078202,0.940283099094717,0.78481557862109
"MOBS-GLEAM_FLUH",0,61.5804185024155,84.643522875817,0.254901960784314,0.620915032679739,0.686820368454641,0.589236262581459,0.704347005900852,0.665624520200879
"MOBS-GLEAM_FLUH",1,133.557715200341,165.884545098039,0.117647058823529,0.392156862745098,0.875186410620885,0.686631321331872,0.839679481759038,0.70991847576673
"MOBS-GLEAM_FLUH",2,215.466968684996,250.915794117647,0.0637254901960784,0.254901960784314,1.02900482842711,0.800439757517556,0.936793841981574,0.778349518092263
"MOBS-GLEAM_FLUH",3,317.926678098892,361.425032679739,0.0522875816993464,0.202614379084967,1.12630921072315,0.885186243989048,1.0160507347917,0.848055703757369
"NEU_ISI-AdaptiveEnsemble",0,87.3868768115942,122.94,0.23,0.62,1.08082277848738,0.927258427034947,1.11475532746208,1.05347005633154
"NEU_ISI-AdaptiveEnsemble",1,132.899374890868,178.401606425703,0.144578313253012,0.530120481927711,0.907792986304992,0.712212952712783,0.931253204482973,0.787340729220241
"NEU_ISI-AdaptiveEnsemble",2,182.268466244265,242.301507537688,0.125628140703518,0.472361809045226,0.858007151223107,0.667424502879289,0.891069750389384,0.740358955963134
"NEU_ISI-AdaptiveEnsemble",3,241.625384841363,315.358108108108,0.114864864864865,0.466216216216216,0.836938180157657,0.657764454992892,0.872747403856102,0.728446315164901
"NEU_ISI-FluBcast",0,98.5456486246673,117.248979591837,0.16734693877551,0.416326530612245,1.01222023790303,0.868403002131829,0.891774327453302,0.84274775624179
"NEU_ISI-FluBcast",1,153.041222271517,181.964285714286,0.11734693877551,0.341836734693878,0.852251204539647,0.668637405218152,0.78181176581171,0.660993425680514
"NEU_ISI-FluBcast",2,219.671542584872,270.568493150685,0.0821917808219178,0.280821917808219,0.850156132449548,0.661317371610547,0.825113449587601,0.685558152794291
"NEU_ISI-FluBcast",3,303.165543478261,385.34375,0.0416666666666667,0.25,0.840254990177127,0.660371194399094,0.863512543549333,0.720738357591145
"NIH-Flu_ARIMA",0,71.7727777777778,91.3496732026144,0.0915032679738562,0.464052287581699,0.849120362688857,0.728476515800417,0.807313514426262,0.762930297409838
"NIH-Flu_ARIMA",1,137.927531116795,174.294117647059,0.0980392156862745,0.411764705882353,0.955752904982019,0.749840116403332,0.931276857801876,0.78736072724147
"NIH-Flu_ARIMA",2,188.606864876385,240.96568627451,0.0784313725490196,0.352941176470588,0.94688442632114,0.736560140111461,0.945749383944678,0.785790367357981
"NIH-Flu_ARIMA",3,263.445870986076,330.764705882353,0.0457516339869281,0.215686274509804,0.983241220656325,0.772746591044186,0.980034721602605,0.817994620815607
"OHT_JHU-nbxd",0,107.076726978818,149.314391025641,0.298076923076923,0.67948717948718,1.21478642307484,1.04218838672166,1.27181588605684,1.20189598571192
"OHT_JHU-nbxd",1,142.060167792642,197.786884615385,0.265384615384615,0.657692307692308,0.910221635025449,0.714118359674935,0.986137808099864,0.833743666280391
"OHT_JHU-nbxd",2,179.743898641304,250.963942307692,0.254807692307692,0.644230769230769,0.853002651191094,0.66353161464256,0.93390983077061,0.775953293185962
"OHT_JHU-nbxd",3,214.864420039019,302.186730769231,0.217948717948718,0.615384615384615,0.762175924607795,0.599007481728116,0.852201562323876,0.711297547388584
"PSI-PROF",0,61.0064787904125,87.8477243589744,0.519230769230769,0.903846153846154,0.663194509471776,0.568967188618695,0.716921654495759,0.677507859474785
"PSI-PROF",1,124.507315301003,180.607038461538,0.276923076923077,0.830769230769231,0.796217765172052,0.624676125604081,0.898092289296788,0.75930438097616
"PSI-PROF",2,179.65690645903,266.711442307692,0.100961538461538,0.754807692307692,0.848320586411772,0.659889541551056,0.988859527478268,0.821609090689126
"PSI-PROF",3,242.549496376812,365.898205128205,0.0512820512820513,0.705128205128205,0.848666590207773,0.666982018998748,1.02354991793391,0.85431496308321
"PSI-PROF_beta",0,69.0518761538462,105.157923076923,0.492307692307692,0.926923076923077,0.665693613027348,0.571111217110749,0.756061535671442,0.714495969610871
"PSI-PROF_beta",1,135.064374414716,199.897884615385,0.259615384615385,0.735576923076923,0.725877240357576,0.569490159608245,0.840533889554272,0.7106408464961
"PSI-PROF_beta",2,204.467591973244,282.004551282051,0.16025641025641,0.525641025641026,0.783191007370097,0.609226704006333,0.85404169202442,0.709593626290067
"PSI-PROF_beta",3,321.367911747492,387.800192307692,0.0673076923076923,0.288461538461538,0.893878694944424,0.702515008335646,0.869709861738925,0.725911003856452
"SigSci-TSENS",0,80.5123035850496,100.912280701754,0.336842105263158,0.6,1.03608036713934,0.888873061002601,0.951539639541146,0.89922738467756
"SigSci-TSENS",1,170.844891759141,204.8410041841,0.267782426778243,0.510460251046025,1.15744766064986,0.908080617980217,1.06134058709559,0.897324881967862
"SigSci-TSENS",2,250.413268754224,297.295336787565,0.186528497409326,0.409326424870466,1.17210166190792,0.911751572125841,1.0836385764004,0.900357715784413
"SigSci-TSENS",3,333.437643660687,394.461538461538,0.111888111888112,0.27972027972028,1.15625533322868,0.908721429043325,1.08002980810402,0.901456401365984
"Stevens-ILIForecast",0,188.373550724638,229.086538461538,0.253205128205128,0.432692307692308,2.19604632884791,1.88402993082104,1.98063556327883,1.87174728572048
"Stevens-ILIForecast",1,245.940352842809,288.746153846154,0.123076923076923,0.288461538461538,1.59976874294441,1.25510555518575,1.45168761203545,1.22734910071483
"Stevens-ILIForecast",2,342.723793896321,373.524038461538,0.0528846153846154,0.173076923076923,1.63925781517242,1.27514185729432,1.39456630514211,1.15869678355168
"Stevens-ILIForecast",3,448.924534559643,479.532051282051,0.00641025641025641,0.0897435897435897,1.59917323203871,1.25681840588634,1.35467989785977,1.13069552022021
"UGA_CEID-Walk",0,196.934962652174,221.304057692308,0.0423076923076923,0.134615384615385,1.97158173355572,1.69145748351662,1.65537861180224,1.56437180111584
"UGA_CEID-Walk",1,292.017459130435,319.946192307692,0.0240384615384615,0.0432692307692308,1.62248470222129,1.27292746026142,1.37321588229549,1.16100410601392
"UGA_CEID-Walk",2,390.295875582497,417.825025641026,0,0.0384615384615385,1.52196979625766,1.18390614019536,1.28285050031043,1.06587599528722
"UGA_CEID-Walk",3,508.98423520903,538.106307692308,0.00961538461538462,0.0192307692307692,1.44554602837342,1.13608008101754,1.22862005516637,1.02547856111549
"UGA_flucast-Copycat",0,59.0246530100334,87.0336538461538,0.25,0.701923076923077,0.746552174579213,0.640481315603511,0.805344301347524,0.761069344641207
"UGA_flucast-Copycat",1,126.667168338907,184.173076923077,0.0961538461538462,0.493589743589744,0.94532537563345,0.74165915270469,1.03925019580421,0.878648259214367
"UGA_flucast-Copycat",2,256.381318283166,355.974358974359,0.0448717948717949,0.365384615384615,0.989124217746178,0.769417525686154,1.08795236499759,0.90394189314053
"UGA_flucast-Copycat",3,366.119138795987,487.365384615385,0,0.240384615384615,1.03037368464774,0.809788824538598,1.109576998837,0.926118224612683
"UGA_flucast-INFLAenza",0,71.4220917990524,106.915064102564,0.336538461538462,0.823717948717949,0.785653700579211,0.674027258763745,0.889860681615243,0.840939315825176
"UGA_flucast-INFLAenza",1,137.894540133779,195.969230769231,0.215384615384615,0.638461538461538,0.884961938561043,0.694300754477555,0.98092602917668,0.829337296672039
"UGA_flucast-INFLAenza",2,195.153710284281,272.072115384615,0.120192307692308,0.519230769230769,0.93220397828821,0.725140549125004,1.01813221335867,0.84593075029791
"UGA_flucast-INFLAenza",3,274.425203455964,365.025641025641,0.0641025641025641,0.403846153846154,0.982035218836929,0.771798772975585,1.03590876278465,0.864630381899052
"UGA_flucast-Scenariocast",0,68.1632725752508,98.6961538461538,0.461538461538462,0.888461538461538,0.664883977228665,0.570416615153702,0.711436842774798,0.672324583135748
"UGA_flucast-Scenariocast",1,120.045397157191,182.509615384615,0.240384615384615,0.706730769230769,0.647357529035899,0.507887177110891,0.769573365233034,0.650646302911197
"UGA_flucast-Scenariocast",2,165.524283723523,240.025641025641,0.198717948717949,0.57051282051282,0.629933738956043,0.490011315139148,0.719865207003642,0.598111037725729
"UGA_flucast-Scenariocast",3,248.26385451505,337.432692307692,0.192307692307692,0.423076923076923,0.686273944434234,0.539354778810035,0.754302525399728,0.629585253097593
"UGuelph-CompositeCurve",0,117.347405063291,169.645569620253,0.341772151898734,0.582278481012658,1.29082509516292,1.10742341033293,1.38416415648174,1.30806774901958
"UGuelph-CompositeCurve",1,114.093904840033,188.584905660377,0.207547169811321,0.547169811320755,0.792924620339245,0.622092474440801,1.00319805666504,0.848167486226804
"UGuelph-CompositeCurve",2,224.553482441472,335.192307692308,0.153846153846154,0.461538461538462,0.912655846581554,0.709934496275754,1.07656234421114,0.894478319840939
"UGuelph-CompositeCurve",3,347.708085284281,451.730769230769,0.0576923076923077,0.211538461538462,1.15114337142799,0.904703848238085,1.19950213432144,1.0011750317655
"UI_CompEpi-EpiGen",0,189.220498327759,199.896153846154,0.05,0.246153846153846,1.90508231710973,1.63440636882902,1.49787841093029,1.41553039942229
