"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble","06",313.802333896657,513.765343711883,0.666666666666667,1,0.537773052246141,0.486813175946718,0.649940325367953,0.612246444096401
"CEPH-Rtrend_fluH","01",164.674637681159,205,0.333333333333333,0.333333333333333,1.05316955011612,1.46200338676451,1.02178647694593,1.63471965720856
"CEPH-Rtrend_fluH","02",21.7027536231884,25.6666666666667,0.333333333333333,0.333333333333333,1.06656381216934,0.905969388693197,0.954265104808806,0.896203773745112
"CEPH-Rtrend_fluH","04",1302.45289855072,1487,0,0.333333333333333,0.792427067283896,0.742589880718958,0.858410433463704,0.870104353171872
"CEPH-Rtrend_fluH","05",48.5271014492754,65,0,0.333333333333333,0.827438881130425,0.588993970680178,0.778794834684127,0.606910662533604
"CEPH-Rtrend_fluH","06",624.517971014493,799.666666666667,0,0.333333333333333,1.08582429952654,0.982930575574278,1.07034643495833,1.00827071836711
"CEPH-Rtrend_fluH","08",248.793768115942,274.666666666667,0,0,1.01899385149447,0.924618367907917,0.942936258723511,0.935156965749608
"CEPH-Rtrend_fluH","09",80.1769565217391,109,0,0.333333333333333,0.62483514498497,0.529982490810262,0.687259341354307,0.625830960688901
"CEPH-Rtrend_fluH","10",84.78,93,0,0,1.02680231190674,0.926044034991997,0.927331922727086,0.924116805035645
"CEPH-Rtrend_fluH","11",34.7198550724638,40,0,0.333333333333333,0.955282888756598,0.842485041437941,0.911227929442617,0.846999536135695
"CEPH-Rtrend_fluH","12",596.811739130435,705.333333333333,0,0.333333333333333,1.05009033718447,0.871172117396117,1.11928906961543,0.925824233910211
"CEPH-Rtrend_fluH","13",206.829855072464,290,0,0.333333333333333,0.621102155810822,0.428672073033928,0.660527133115084,0.540971895394192
"CEPH-Rtrend_fluH","15",13.0110144927536,18,0,0.333333333333333,1.11465309469535,1.09474962480672,1.13833108531617,1.08334885060092
"CEPH-Rtrend_fluH","16",84.7244927536232,95.6666666666667,0.333333333333333,0.333333333333333,1.25005967745906,1.06200034143541,1.05647482925866,1.04100996021138
"CEPH-Rtrend_fluH","17",530.91231884058,629,0,0,1.05404272131453,0.832614328607633,0.98896054995911,0.906360263132558
"CEPH-Rtrend_fluH","18",203.459565217391,260.666666666667,0,0,0.828895371317652,0.637510274071177,0.800423279466463,0.701570359671677
"CEPH-Rtrend_fluH","19",34.6852173913043,48,0.333333333333333,0.666666666666667,0.641129834773107,0.485604877142158,0.663737536759689,0.530442977810756
"CEPH-Rtrend_fluH","20",109.485072463768,128.333333333333,0,0,1.19736863686665,0.844373032263383,1.01429292715525,0.875431610016202
"CEPH-Rtrend_fluH","21",218.48,264.333333333333,0,0.333333333333333,0.974015106602149,0.807667573223835,0.941824973573603,0.856757940921069
"CEPH-Rtrend_fluH","22",114.206956521739,142.666666666667,0.333333333333333,0.333333333333333,0.873275553922691,1.20952357413901,0.701562153013716,1.16523407736276
"CEPH-Rtrend_fluH","23",43.7773913043478,48.3333333333333,0,0,1.0563385888985,0.981013697746965,0.944482821546839,0.863363711801076
"CEPH-Rtrend_fluH","24",132.664927536232,153.333333333333,0,0,1.11232579329434,0.794394232922358,0.978665973127286,0.789561120072262
"CEPH-Rtrend_fluH","25",151.055362318841,189,0,0,1.00315229468055,0.763458361674887,0.918305017402274,0.763052284826338
"CEPH-Rtrend_fluH","26",76.9514492753623,123.333333333333,0.333333333333333,0.666666666666667,0.585076638672795,0.408330393603051,0.651821969982656,0.479928084325198
"CEPH-Rtrend_fluH","27",716.563768115942,746.333333333333,0,0,1.13807070740541,1.01621188365944,1.0021834623275,1.01826860345485
"CEPH-Rtrend_fluH","28",102.514492753623,123,0,0.333333333333333,0.91960025434376,0.789886628658338,0.925709848500834,0.838413852692288
"CEPH-Rtrend_fluH","29",242.512028985507,266.333333333333,0.333333333333333,0.333333333333333,0.731308229167821,0.639394104597932,0.476184357037162,0.456446753002959
"CEPH-Rtrend_fluH","30",9.25333333333333,14,0.333333333333333,0.666666666666667,0.611104087784025,0.52356900685519,Inf,NA
"CEPH-Rtrend_fluH","31",44.211884057971,60.6666666666667,0,0.333333333333333,0.961648399013556,0.760071751518768,0.956072035754848,0.864446177783924
"CEPH-Rtrend_fluH","32",82.5530434782609,108.333333333333,0,0,1.06093927119518,0.78867996424214,0.965181757609911,0.832220763998951
"CEPH-Rtrend_fluH","33",223.642173913044,229.666666666667,0,0,1.02106267023469,0.985425724492287,0.998004076407017,0.975739680961302
"CEPH-Rtrend_fluH","34",446.98768115942,538.666666666667,0,0,0.925262569637933,0.741515259977116,0.881337855443863,0.811684889676075
"CEPH-Rtrend_fluH","35",70.2130434782609,93,0,0.333333333333333,1.23124401870368,0.852259350692505,1.08752563353948,0.883586871507528
"CEPH-Rtrend_fluH","36",718.552463768116,868.666666666667,0,0,0.952220657631699,0.713919431821343,0.89252488391292,0.787697397955162
"CEPH-Rtrend_fluH","37",179.391739130435,253.333333333333,0,0.333333333333333,0.629130722659917,0.454608100652552,0.665727042297546,0.555153103988181
"CEPH-Rtrend_fluH","38",19.5153623188406,25.3333333333333,0,0,0.874835741162439,0.753772188855186,0.858388010961617,0.779872359119779
"CEPH-Rtrend_fluH","39",468.891884057971,546,0,0,0.983954418679536,0.798580821587946,0.893938426515126,0.825927212319613
"CEPH-Rtrend_fluH","40",139.903333333333,166.666666666667,0.333333333333333,0.333333333333333,0.714081317620052,0.590403921750044,0.681047832113185,0.586682231792604
